shipment_id,mode,product_category,unit_cost,weight_kg,lat_o,lon_o,lat_d,lon_d,dist_km,plan_hrs,origin_congestion_index,weather_condition_code,labor_strike_score,current_node_stock,node_tier,actual_transit_time,is_delayed,delay_delta,predicted_ttr,risk_score,stay_impact,pivot_impact,ai_recommendation,strategic_justification
SHP-0380728,Ocean,Raw Materials,145,100.37,28.54,77.55,34.71,-79.62,12584.17,359.55,5.03,1.03,0.51,2343,1,493.76,1,134.21,319.67,0.51,16131.04,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380729,Rail,Raw Materials,55,127.75,14.71,-54.94,6.45,-94.66,4430.35,55.38,5.03,0.98,0.5,4263,1,141.11,1,85.73,49.91,0.15,2553.84,1264.16,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380730,Truck,Raw Materials,55,127.75,-56.51,-56.95,-57.21,-109.6,3121.07,34.68,4.93,0.99,0.5,3926,3,72.4,1,37.72,30.43,0.12,1579.9,1264.16,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380731,Ocean,Raw Materials,98,96.88,33.26,53.07,6.45,-94.66,14439.5,412.56,5.01,1.02,0.5,3052,4,857.15,1,444.59,359.65,0.57,18083.06,1311.7,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380732,Ocean,Semiconductors,1780,0.13,13.62,13.21,-56.51,-56.95,10098.76,288.54,5.04,1.01,0.49,1391,3,414.71,1,126.17,261.67,0.43,14863.72,3193.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380733,Ocean,Energy & Power,2037,14.68,-45.74,101.14,12.46,-13.76,12919.94,369.14,5,0.97,0.5,3349,2,725.83,1,356.69,336.11,0.53,18842.67,3481.73,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380734,Air,Raw Materials,145,100.37,18.52,73.85,-50.08,82.54,7675.84,9.03,5.01,0.99,0.5,1891,1,11.22,0,2.19,6.95,0.09,494.98,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380735,Truck,Raw Materials,98,96.88,31.06,28.86,-5.5,19.19,4193.16,46.59,4.94,1.01,0.5,2302,3,83.3,1,36.71,42.09,0.14,2205.08,1311.7,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380736,Ocean,Semiconductors,1201,0.13,-56.51,-56.95,22.8,-63.2,8838.13,252.52,4.93,0.99,0.5,4927,3,458.56,1,206.04,225.2,0.38,12461,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380737,Truck,Raw Materials,98,96.88,-50.08,82.54,1.02,116.62,6540.34,72.67,4.94,0.99,0.49,587,1,193.42,1,120.75,67.51,0.17,3476,1311.7,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380738,Rail,Raw Materials,248,109.36,-56.72,103.91,33.26,53.07,11087.98,138.6,5.06,1.01,0.5,3296,1,247.24,1,108.64,122.89,0.24,6395.39,1479.95,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380739,Rail,Raw Materials,94,75.53,22.74,69.7,33.73,-118.26,13679.59,170.99,5.04,0.98,0.49,2947,0,283.78,1,112.79,150.58,0.28,7624.66,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380740,Rail,Semiconductors,1780,0.13,-10.72,25.47,50.02,55.47,7356.28,91.95,5.04,1,0.51,556,4,193.3,1,101.35,82.27,0.19,5893.7,3193.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380741,Ocean,Raw Materials,145,100.37,32.48,105.45,-56.51,-56.95,17020.22,486.29,5.04,0.99,0.5,1099,2,505.6,0,19.31,424,0.65,21347.51,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380742,Rail,Energy & Power,2037,14.68,36.43,-112.78,12.53,-41.31,7534.89,94.19,4.94,1.03,0.5,903,4,164.43,1,70.24,86.81,0.2,6377.64,3481.73,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380743,Truck,Raw Materials,218,66.74,-54.26,-118.14,-4.98,117.14,11689.66,129.89,5.04,1.01,0.51,3461,3,139.82,0,9.93,113.68,0.23,5903.44,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380744,Rail,Semiconductors,975,0.11,-35.7,114.51,49.3,-88.45,17617.14,220.21,5.01,0.98,0.5,4661,3,251.98,0,31.77,192.28,0.34,10589.14,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380745,Truck,Raw Materials,55,127.75,-38.1,15.53,-24.51,-71.02,8072.22,89.69,4.96,0.99,0.51,4459,3,145,1,55.31,82.69,0.19,4192.48,1264.16,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380746,Truck,Semiconductors,592,0.09,-5.5,19.19,50.79,-95.24,12181.13,135.35,4.95,1,0.51,3638,1,366.43,1,231.08,120.41,0.24,6612.33,1863.04,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380747,Ocean,Raw Materials,218,66.74,1.02,116.62,10.03,-25.8,15678.24,447.95,5.01,1.01,0.5,3952,4,661.8,1,213.85,389.03,0.61,19671.18,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380748,Ocean,Energy & Power,2037,14.68,-8.62,117.48,-36.87,22.47,9874.32,282.12,5.02,1.01,0.5,1826,2,628.2,1,346.08,250.76,0.42,14575.36,3481.73,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380749,Ocean,Raw Materials,59,76.47,-44.54,-82.52,-47.84,-47.27,2714.12,77.55,4.97,1.01,0.5,3401,3,147.39,1,69.84,68.04,0.17,3462.8,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380750,Truck,Raw Materials,218,66.74,-22.08,-68.86,34.71,-79.62,6416.55,71.29,5.07,1.01,0.51,2127,3,157.38,1,86.09,64.18,0.17,3428.45,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380751,Ocean,Semiconductors,975,0.11,-47.84,-47.27,-35.87,-99.2,4411.02,126.03,5.07,1,0.49,2429,3,345.67,1,219.64,109.84,0.23,6467.22,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380752,Air,Raw Materials,214,96.03,30.5,-95.77,-32.17,-76.35,7262.83,8.54,5.03,1,0.5,710,4,15.85,1,7.31,7.48,0.09,590.63,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380753,Ocean,Raw Materials,79,82.74,49.3,-88.45,-44.54,-82.52,10450.27,298.58,4.85,0.97,0.49,3253,2,752.98,1,454.4,270.73,0.45,13617.38,1290.13,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380754,Truck,Raw Materials,214,96.03,55.83,-38.26,-21.75,56.83,12305.03,136.72,4.95,0.99,0.49,1548,2,297.15,1,160.43,125.41,0.25,6486.7,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380755,Truck,Energy & Power,3978,21.88,33.73,-118.26,56.98,-91.44,3284.53,36.49,5.08,0.98,0.49,343,0,59.8,1,23.31,34.65,0.13,5711.2,5655.8,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380756,Air,Semiconductors,1069,0.14,-57.79,-41.44,22.74,69.7,13375.69,15.74,4.96,1.02,0.5,990,1,27.53,1,11.79,11.6,0.09,1648.78,2397.28,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380757,Ocean,Raw Materials,55,127.75,14.88,31.56,38.72,-79.45,10708.41,305.95,5.04,1.02,0.5,4594,1,640.42,1,334.47,268.26,0.44,13471.21,1264.16,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380758,Truck,Semiconductors,592,0.09,-9.24,90.96,58.14,84.27,7516.7,83.52,4.99,1.02,0.5,2481,4,128.66,1,45.14,73.96,0.18,4289.94,1863.04,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380759,Ocean,Semiconductors,975,0.11,-4.98,117.14,12.46,-13.76,14562.92,416.08,5.05,0.98,0.49,2488,2,908.54,1,492.46,369.64,0.58,19456.91,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380760,Rail,Raw Materials,98,96.88,28.54,77.55,33.26,53.07,2387.93,29.85,5.03,1.03,0.51,3680,1,44.07,1,14.22,27.28,0.12,1464.4,1311.7,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380761,Ocean,Raw Materials,218,66.74,-17.98,-110.77,-47.84,-47.27,6570.77,187.74,4.96,1.02,0.51,1375,4,195.4,0,7.66,168.18,0.31,8628.52,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380762,Air,Energy & Power,3978,21.88,50.79,-95.24,-57.21,-109.6,12080.57,14.21,5.11,1,0.5,4079,3,16.14,0,1.93,10.73,0.09,4515.29,5655.8,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380763,Ocean,Semiconductors,1201,0.13,-10.72,25.47,-50.08,82.54,6778.28,193.67,5.04,1,0.51,841,4,503.99,1,310.32,175.57,0.32,9979.52,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380764,Ocean,Raw Materials,145,100.37,51.92,4.47,-23.82,26.38,8688.85,248.25,4.95,1.01,0.5,1725,0,514.3,1,266.05,229.52,0.39,11623.45,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380765,Truck,Raw Materials,59,76.47,-40.45,-81.78,49.3,-88.45,10001.21,111.12,4.98,0.99,0.5,1081,4,172.71,1,61.59,96.43,0.21,4882.49,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380766,Truck,Raw Materials,94,108.1,49.3,-88.45,12.92,49.22,11951.65,132.8,4.85,0.97,0.49,991,2,254.79,1,121.99,120.75,0.24,6134.09,1307.44,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380767,Truck,Semiconductors,975,0.11,56.98,-91.44,-8.62,117.48,14085.68,156.51,5,1.02,0.5,2936,2,421.3,1,264.79,144.27,0.27,8188.44,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380768,Rail,Raw Materials,59,76.47,-1.82,46.19,-17.98,-110.77,16667.04,208.34,4.95,0.98,0.5,3413,3,548.38,1,340.04,182.04,0.33,9162.81,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380769,Truck,Energy & Power,3978,21.88,-5.5,19.19,-52.94,98.87,8828.92,98.1,4.95,1,0.51,1707,1,109.09,0,10.99,86.74,0.2,8315.67,5655.8,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380770,Truck,Semiconductors,1201,0.13,33.26,53.07,33.26,53.07,0,0,5.01,1.02,0.5,500,4,0,0,0,-0.64,0.08,1168.76,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380771,Truck,Semiconductors,1201,0.13,49.3,-88.45,34.71,-79.62,1775.43,19.73,4.85,0.97,0.49,3723,2,48.72,1,28.99,15.8,0.1,1991.08,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380772,Truck,Raw Materials,59,76.47,12.46,-13.76,19.99,73.78,9284.71,103.16,5.01,1,0.5,2070,4,226.17,1,123.01,94.91,0.21,4806.46,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380773,Truck,Raw Materials,94,108.1,6.45,-94.66,9.25,114.81,16312.1,181.25,5.03,0.98,0.49,1576,4,219.24,0,37.99,154.21,0.29,7807.07,1307.44,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380774,Truck,Raw Materials,218,66.74,33.26,53.07,33.26,53.07,0,0,5.01,1.02,0.5,3376,4,0,0,0,1.07,0.08,273.31,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380775,Truck,Semiconductors,1069,0.14,-24.51,-71.02,36.43,-112.78,8068.48,89.65,4.97,0.98,0.5,1285,3,89.8,0,0.15,82.65,0.19,5201.42,2397.28,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380776,Truck,Semiconductors,1201,0.13,-22.09,102.78,19.99,73.78,5640.34,62.67,5.11,0.99,0.5,2007,4,69.88,0,7.21,55.87,0.15,3994.49,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380777,Truck,Raw Materials,137,131.41,-40.24,33.45,-40.45,-81.78,8908.9,98.99,5.05,1,0.5,987,2,231.35,1,132.36,90.11,0.2,4645.59,1356.07,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380778,Rail,Raw Materials,218,66.74,-45.74,101.14,-10.72,25.47,8046.54,100.58,5,0.97,0.5,1007,2,103.63,0,3.05,89.17,0.2,4678.03,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380779,Truck,Semiconductors,1201,0.13,55.83,-38.26,12.92,49.22,8666.26,96.29,4.95,0.99,0.49,3219,2,249.5,1,153.21,84.59,0.19,5430.5,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380780,Ocean,Raw Materials,94,108.1,14.71,-54.94,-4.86,77.46,14696.81,419.91,5.03,0.98,0.5,1940,1,1063.85,1,643.94,387.85,0.6,19489.24,1307.44,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380781,Ocean,Semiconductors,1201,0.13,-44.54,-82.52,-22.08,-68.86,2792.5,79.79,4.97,1.01,0.5,100,3,113.78,1,33.99,66.97,0.17,4549.34,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380782,Rail,Semiconductors,975,0.11,-22.09,102.78,51.92,4.47,12481.29,156.02,5.11,0.99,0.5,3696,4,305.33,1,149.31,138.78,0.27,7913.93,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380783,Ocean,Raw Materials,218,66.74,12.46,-13.76,51.92,4.47,4682.49,133.79,5.01,1,0.5,3265,4,253.67,1,119.88,122.25,0.24,6332.1,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380784,Ocean,Energy & Power,3814,11.39,4.32,-78.52,32.48,105.45,15901.58,454.33,5.03,1.03,0.5,734,2,1177.26,1,722.93,406.8,0.63,24154.16,5471.91,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380785,Ocean,Raw Materials,94,75.53,33.26,53.07,22.8,-63.2,10829.11,309.4,5.01,1.02,0.5,1438,4,624.74,1,315.34,279.28,0.46,14060.01,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380786,Truck,Semiconductors,1780,0.13,-45.74,101.14,-50.08,82.54,1463.52,16.26,5,0.97,0.5,417,2,44.78,1,28.52,17.1,0.1,2635.19,3193.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380787,Truck,Raw Materials,218,66.74,-29.18,-81.9,14.71,-54.94,5674.4,63.05,5,1.01,0.5,2601,4,100.53,1,37.48,56.83,0.16,3060.98,1445.49,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380788,Ocean,Raw Materials,248,109.36,-57.21,-109.6,-22.54,-5.13,8742.87,249.8,5.06,1.01,0.5,3222,1,380.24,1,130.44,227.65,0.39,11633.48,1479.95,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380789,Ocean,Energy & Power,2037,14.68,28.54,77.55,56.98,-91.44,10449.31,298.55,5.03,1.03,0.51,134,1,583.91,1,285.36,259.19,0.43,14996.79,3481.73,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380790,Rail,Semiconductors,1069,0.14,56.98,-91.44,56.98,-91.44,0,0,5,1.02,0.5,642,2,0,0,0,-0.44,0.08,1047.14,2397.28,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380791,Truck,Raw Materials,94,75.53,10.03,-25.8,-56.68,46.35,9877.81,109.75,5.06,0.98,0.5,2753,4,115.36,0,5.61,99.32,0.21,5061.66,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380792,Rail,Raw Materials,94,108.1,56.98,-91.44,19.99,73.78,11345.72,141.82,5,1.02,0.5,4627,2,200.33,1,58.51,124.77,0.25,6335.11,1307.44,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380793,Rail,Raw Materials,214,96.03,-32.17,-76.35,-45.74,101.14,11348.24,141.85,5.06,1,0.5,3718,1,311.55,1,169.7,128.21,0.25,6626.91,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380794,Truck,Raw Materials,214,96.03,-22.54,-5.13,-4.98,117.14,13039.14,144.88,5.1,0.98,0.49,1162,3,308.24,1,163.36,134.99,0.26,6966.13,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380795,Truck,Raw Materials,94,75.53,-22.08,-68.86,-22.08,-68.86,0,0,5.07,1.01,0.51,4196,3,0,0,0,2,0.08,195.99,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380796,Truck,Raw Materials,214,96.03,18.52,73.85,-56.72,103.91,8823.32,98.04,5.01,0.99,0.5,3493,1,166.31,1,68.27,88,0.2,4616.28,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380797,Truck,Raw Materials,94,75.53,22.8,-63.2,56.98,-91.44,4433.62,49.26,5.02,1,0.5,273,1,111.65,1,62.39,41.98,0.13,2195.04,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380798,Truck,Semiconductors,592,0.09,-23.82,26.38,-43.85,66.17,4238.17,47.09,5.13,1.01,0.5,3870,3,123.46,1,76.37,44.28,0.14,2805.76,1863.04,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380799,Truck,Raw Materials,98,96.88,-21.75,56.83,-57.79,-41.44,8448.9,93.88,5.02,1,0.5,2930,3,145.29,1,51.41,81.04,0.19,4152.43,1311.7,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380800,Air,Raw Materials,248,109.36,-24.51,-71.02,-38.1,15.53,8072.22,9.5,4.97,0.98,0.5,4146,3,24.68,1,15.18,7.97,0.09,649.14,1479.95,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380801,Ocean,Raw Materials,94,75.53,-17.88,4.46,-50.08,82.54,7649.39,218.55,5.02,0.98,0.5,3088,4,394.59,1,176.04,191.01,0.34,9646.43,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380802,Air,Raw Materials,55,127.75,-17.98,-110.77,28.54,77.55,18566.67,21.84,4.96,1.02,0.51,716,4,55.97,1,34.13,23.18,0.11,1217.35,1264.16,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380803,Rail,Raw Materials,214,96.03,-17.98,-110.77,47.84,29.98,15157.46,189.47,4.96,1.02,0.51,3514,4,312.64,1,123.17,171.67,0.31,8799.76,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380804,Truck,Semiconductors,975,0.11,-56.68,46.35,-35.7,114.51,5469.69,60.77,5.08,1,0.5,4980,4,135.44,1,74.67,55.64,0.15,3757.11,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380805,Air,Semiconductors,1201,0.13,50.79,-95.24,-47.84,-47.27,11883.9,13.98,5.11,1,0.5,3252,3,35.24,1,21.26,12.72,0.1,1836.94,2545.12,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380806,Ocean,Raw Materials,59,76.47,-39.9,86.45,50.02,55.47,10446.29,298.47,5.02,1.03,0.5,1956,2,570.71,1,272.24,264.16,0.44,13269.01,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380807,Ocean,Raw Materials,214,96.03,-29.18,-81.9,-56.51,-56.95,3613.8,103.25,5,1.01,0.5,3853,4,149.19,1,45.94,93.54,0.2,4893.3,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380808,Air,Semiconductors,975,0.11,55.83,-38.26,-22.09,102.78,15090.24,17.75,4.95,0.99,0.49,4584,2,23.59,1,5.84,15.43,0.1,1746.31,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380809,Ocean,Raw Materials,94,75.53,-54.26,-118.14,19.99,73.78,16072.49,459.21,5.04,1.01,0.51,4891,3,1115.29,1,656.08,387.53,0.6,19472.6,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380810,Truck,Raw Materials,248,109.36,12.92,49.22,59.17,-61.27,9898.79,109.99,4.98,1.01,0.5,4129,4,215.8,1,105.81,99.34,0.21,5217.83,1479.95,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380811,Truck,Energy & Power,3978,21.88,59.17,-61.27,-22.09,102.78,15702.24,174.47,5.07,1.02,0.51,3297,2,447.94,1,273.47,156.76,0.29,11816.39,5655.8,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380812,Truck,Raw Materials,145,100.37,-23.82,26.38,-22.08,-68.86,9533.21,105.92,5.13,1.01,0.5,2977,3,168.93,1,63.01,97.7,0.21,5032.58,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380813,Ocean,Energy & Power,2037,14.68,-23.82,26.38,32.48,105.45,10456.83,298.77,5.13,1.01,0.5,1665,3,397.83,1,99.06,274.11,0.45,15742.67,3481.73,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380814,Ocean,Semiconductors,592,0.09,-35.87,-99.2,-5.5,19.19,12132.04,346.63,5.05,1,0.49,920,2,698.64,1,352.01,307.52,0.5,15968.08,1863.04,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380815,Truck,Energy & Power,2037,14.68,50.02,55.47,36.43,-112.78,10333.96,114.82,4.96,1.01,0.49,4722,2,309.56,1,194.74,100.81,0.21,7077.69,3481.73,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380816,Truck,Raw Materials,59,76.47,51.92,4.47,-44.54,-82.52,13558.76,150.65,4.95,1.01,0.5,2375,0,295.01,1,144.36,134.43,0.26,6782.23,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380817,Ocean,Semiconductors,975,0.11,-45.74,101.14,-8.62,117.48,4413.22,126.09,5,0.97,0.5,1892,2,213.08,1,86.99,106.22,0.22,6285.98,2292,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380818,Truck,Raw Materials,248,109.36,-5.5,19.19,-39.9,86.45,7683.41,85.37,4.95,1,0.51,4839,1,86.98,0,1.61,75.82,0.18,4041.98,1479.95,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380819,Rail,Raw Materials,59,76.47,6.88,-90.65,-5.5,19.19,12265.02,153.31,5.12,0.99,0.51,4037,2,363.56,1,210.25,141.21,0.27,7121.19,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380820,Ocean,Energy & Power,3814,11.39,-45.74,101.14,18.52,73.85,7656.76,218.76,5,0.97,0.5,4081,2,521.73,1,302.97,197.76,0.35,13702.41,5471.91,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380821,Ocean,Raw Materials,214,96.03,32.64,-76.95,12.53,-41.31,4255.3,121.58,5,1.02,0.5,4652,2,256.71,1,135.13,110.56,0.23,5744.32,1441.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380822,Rail,Raw Materials,145,100.37,-56.51,-56.95,-32.17,-76.35,3090.58,38.63,4.93,0.99,0.5,2612,3,60.81,1,22.18,34.08,0.12,1851.59,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
